DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2013,-17.4,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2014,10.2,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2015,9.9,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2016,24.8,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2017,20.5,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2018,-10.1,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2019,-11.5,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2020,6.4,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2021,10.6,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,FI,2022,-18.9,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2013,-0.2,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2014,-10.2,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2015,14.8,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2016,16.9,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2017,-2.7,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2018,-10.7,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2019,1.0,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2020,-5.9,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001,NSA,PCH_SM,NO,2021,1.0,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AL,2016,566.7,e
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AL,2017,65.8,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AL,2018,45.7,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AL,2019,-33.8,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AL,2020,17.7,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AL,2021,87.6,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AL,2022,3.5,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AT,2013,0.3,
ESTAT:STS_COBP_A$DEFAULTVIEW(1.0),20/05/23 11:00:00,A,PNUM,CPA_F410011,NSA,PCH_SM,AT,2014,4.7,
