DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2000,60.36,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2001,60.82,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2002,61.21,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2003,61.36,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2004,60.21,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2005,63.21,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2006,65.82,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2007,68.89,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2008,69.58,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2009,72.34,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2010,76.80,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2011,81.60,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2012,87.57,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2013,92.10,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2014,95.33,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2015,100.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2016,108.53,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,AT,2017,114.26,
